49960,0,0,1
51060,0,0,1
51119,0,0,1
51120,0,0,1
51121,0,0,1
51122,1,0,0
51123,0,0,1
51124,0,0,1
51125,0,0,1
51126,0,0,1
51127,0,0,1
51128,0,0,1
51129,19,0,0
51130,0,0,1
51131,0,0,1
51132,0,0,1
51133,0,0,1
51134,0,0,1
51135,0,0,1
51136,0,0,1
51137,19,0,0
51138,19,0,0
51139,0,0,1
51140,0,0,1
51141,0,0,1
51142,1,0,0
51143,0,0,1
51144,0,0,1
51145,0,0,1
51146,0,0,1
51147,0,0,1
51148,0,0,1
51149,0,0,1
51150,0,0,1
51151,1,0,0
51152,0,0,1
51153,0,0,1
51154,0,0,1
51155,0,0,1
51156,1,0,0
51157,0,0,1
51158,0,0,1
51159,0,0,1
51160,0,0,1
51161,0,0,1
51162,1,0,0
51163,0,0,1
51164,0,0,1
51165,1,0,0
51166,0,0,1
51167,19,0,0
51168,19,0,0
51169,0,0,1
51170,0,0,1
51171,0,0,1
51172,1,0,0
51173,0,0,1
51174,0,0,1
51175,0,0,1
51176,0,0,1
51177,0,0,1
51178,0,0,1
51179,0,0,1
51180,0,0,1
51181,0,0,1
51182,1,0,0
51183,0,0,1
51184,0,0,1
51185,0,0,1
51186,0,0,1
51187,0,0,1
51188,19,0,0
51189,0,0,1
51190,0,0,1
51191,0,0,1
51192,0,0,1
51193,0,0,1
51194,0,0,1
51195,19,0,0
51196,0,0,1
51197,0,0,1
51198,0,0,1
51199,0,0,1
51200,0,0,1
51201,0,0,1
51202,0,0,1
51203,0,0,1
51204,0,0,1
51205,19,0,0
51206,0,0,1
51207,19,0,0
51208,1,0,0
51209,0,0,1
51210,0,0,1
51211,1,0,0
51212,0,0,1
51213,0,0,1
51214,0,0,1
51215,0,0,1
51216,0,0,1
37261,1,1,1
37913,1,1,1
37914,1,1,1
37915,1,1,1
37916,1,1,1
37917,1,1,1
37918,1,1,1
37919,13,1,0
37920,13,1,0
37921,1,1,1
37922,1,1,1
37923,1,1,1
37924,1,1,1
37925,1,1,1
37926,1,1,1
37927,1,1,1
37928,1,1,1
37929,1,1,1
37930,1,1,1
37931,1,1,1
37932,1,1,1
37933,1,1,1
37934,1,1,1
37935,1,1,1
37936,1,1,1
37937,1,1,1
37938,1,1,1
37939,1,1,1
37940,1,1,1
37941,1,1,1
37942,1,1,1
37943,1,1,1
37944,1,1,1
37945,1,1,1
37946,1,1,1
37947,1,1,1
37948,1,1,1
37949,1,1,1
37950,1,1,1
37951,1,1,1
37952,1,1,1
37953,1,1,1
37954,1,1,1
37955,1,1,1
37956,1,1,1
37957,1,1,1
37958,1,1,1
37959,1,1,1
37960,1,1,1
37961,1,1,1
37962,1,1,1
37963,1,1,1
38099,1,1,1
38214,1,1,1
38215,1,1,1
38216,1,1,1
38217,1,1,1
38218,3,1,0
38219,1,1,1
38220,1,1,1
38221,1,1,1
38222,1,1,1
38223,1,1,1
38224,1,1,1
38225,1,1,1
38226,1,1,1
38227,1,1,1
38228,1,1,1
38229,1,1,1
38230,1,1,1
38231,1,1,1
38232,1,1,1
38233,1,1,1
38234,1,1,1
38235,1,1,1
38236,1,1,1
38237,1,1,1
38238,1,1,1
38239,1,1,1
38240,1,1,1
38241,1,1,1
38242,1,1,1
38243,1,1,1
38244,1,1,1
38245,1,1,1
38246,1,1,1
38247,1,1,1
38248,1,1,1
38249,1,1,1
38250,3,1,0
38251,1,1,1
38252,1,1,1
38253,1,1,1
38254,1,1,1
38255,1,1,1
38256,1,1,1
38257,1,1,1
38258,1,1,1
38259,1,1,1
38260,1,1,1
10000,2,2,1
10001,2,2,1
10002,2,2,1
10003,2,2,1
10004,2,2,1
10005,2,2,1
10006,2,2,1
10007,2,2,1
10008,2,2,1
10009,2,2,1
10010,2,2,1
10011,1,2,0
10012,2,2,1
10013,2,2,1
10014,2,2,1
10015,2,2,1
10016,2,2,1
10017,2,2,1
10018,2,2,1
10019,2,2,1
10020,2,2,1
10021,2,2,1
10022,2,2,1
10023,2,2,1
10024,2,2,1
10025,2,2,1
10026,2,2,1
10027,2,2,1
10028,2,2,1
10029,2,2,1
10030,2,2,1
10031,2,2,1
10032,2,2,1
10033,2,2,1
10034,2,2,1
10035,2,2,1
10036,2,2,1
10037,2,2,1
